author,expression,title,edition,placeOfPublication,yearOfPublication,langCode
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb330462776#Expression,"Choix de poésies. Avec une notice biographique, une notice historique et littéraire, des notes... par Bernard Blanc,...","Paris : Larousse , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046347j#Expression,Victor Hugo. Les Misérables... 2,"Paris : Éditions S.E.C.A. , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb330464067#Expression,Le Pape,"Paris : Calmann-Lévy , 1878",Paris,1878,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046312w#Expression,Discours de Victor Hugo dans la discussion du projet de loi sur la déportation,"Paris : au bureau de ""L'Evènement"" , [1850]",Paris,1850,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046321v#Expression,"Hernani. Ruy Blas, suivi de La Bataille d'Hernani racontée par ses témoins. Édition établie sur les textes et manuscrits originaux annotée et présentée par Yves Florenne","Paris : le Livre de poche , 1969",Paris,1969,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb330462598#Expression,Oeuvres complètes / Victor Hugo : édition chronologique 10,"Paris : le Club français du livre , 1969",Paris,1969,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb330464036#Expression,"Odes et ballades. Texte établi, présenté et annoté par Pierre Albouy","Paris : le Livre de poche , 1969",Paris,1969,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046302k#Expression,Victor Hugo. Les Contemplations...,"Paris : A. Colin (Besançon, Impr. moderne de l'Est) , 1964",Paris,1964,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046327x#Expression,Booz endormi,"Paris : G. Lévis Mano (impr. G. Lévis Mano) , 1964",Paris,1964,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046342t#Expression,Victor Hugo. Les Misérables...,"Paris : Club du livre sélectionné , [1964]",Paris,1964,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046374f#Expression,Victor Hugo. Les Misérables... 1,"Paris : Hachette , 1964",Paris,1964,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046420s#Expression,Quatre-vingt-treize. Adaptation [en 1500 mots] de Pierre de Beaumont. Dessins de M. Chica,"Paris : A. Hatier , 1968",Paris,1968,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046405w#Expression,Les orientales,"Paris : M. Didier , 1968",Paris,1968,http://id.loc.gov/vocabulary/iso639-2/fre
