author,expression,title,edition,placeOfPublication,yearOfPublication,langCode
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb47423179t#Expression,Floricultura : textos críticos 1881-1921,"Madrid : Huerge & Fierro editores , 2024",Madrid,2024,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb45833420m#Expression,Obras completas XI,"Madrid : Fundación José Antonio de Castro , 2011",Madrid,2011,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb47526032s#Expression,Cuentos,"Madrid : Ediciones Cátedra , 2022",Madrid,2022,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb47526026v#Expression,La quimera,"Madrid : Cátedra , 2022",Madrid,2022,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb349176690#Expression,Los Pazos de Ulloa,"Madrid : Castalia , 1986",Madrid,1986,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb41070552p#Expression,Obras completas VII,"Madrid : Fundación José Antonio de Castro , DL 2003",Madrid,2003,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb325077186#Expression,"Obras completas, novelas y cuentos 2","Madrid : Aguilar , 1956",Madrid,1956,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb46656403z#Expression,Cuentos fantásticos,"León : Eolas ediciones , 2020",León,2020,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb310580621#Expression,Obras completas...,Madrid,Madrid,1891/1914,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb35605791c#Expression,La última ilusión de Don Juan,"Paris : Ellipses , 1992",Paris,1992,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb35605791c#Expression,La última ilusión de Don Juan,"Paris : Ellipses , 1992",Paris,1992,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb31058066d#Expression,"Ctesse de Pardo Bazan. Le Château de Ulloa, traduit de l'espagnol, par A. Fortin","Paris : Hachette , 1910",Paris,1910,http://id.loc.gov/vocabulary/iso639-2/fre
